"","geometry.type","geometry.coordinates.1","geometry.coordinates.2","properties.geopin","properties.objectid","properties.shape_area","properties.shape_leng","properties.situs_dir","properties.situs_num","properties.situs_str","properties.situs_type","type"
"152","MultiPolygon",-90.088128355506,29.9774554861195,"41019271","17","19398.2298681","581.253793952","","924","MOSS","ST","Feature"
"153","MultiPolygon",-90.0883308314302,29.9772261070363,"41019271","17","19398.2298681","581.253793952","","924","MOSS","ST","Feature"
"154","MultiPolygon",-90.0884034300501,29.977277428284,"41019271","17","19398.2298681","581.253793952","","924","MOSS","ST","Feature"
"155","MultiPolygon",-90.0885023591238,29.9773477526181,"41019271","17","19398.2298681","581.253793952","","924","MOSS","ST","Feature"
"156","MultiPolygon",-90.0885849156204,29.9774066697215,"41019271","17","19398.2298681","581.253793952","","924","MOSS","ST","Feature"
"157","MultiPolygon",-90.0886582172873,29.9774592477698,"41019271","17","19398.2298681","581.253793952","","924","MOSS","ST","Feature"
"158","MultiPolygon",-90.0887429123092,29.9775194352912,"41019271","17","19398.2298681","581.253793952","","924","MOSS","ST","Feature"
"159","MultiPolygon",-90.0887955802784,29.9775568156459,"41019271","17","19398.2298681","581.253793952","","924","MOSS","ST","Feature"
"160","MultiPolygon",-90.0885803920689,29.977769197265,"41019271","17","19398.2298681","581.253793952","","924","MOSS","ST","Feature"
"161","MultiPolygon",-90.0882031081219,29.9775068282063,"41019271","17","19398.2298681","581.253793952","","924","MOSS","ST","Feature"
"162","MultiPolygon",-90.0866260253166,29.9799998858841,"41019294","18","14638.7585193","566.866836731","","1300","MOSS","ST","Feature"
"163","MultiPolygon",-90.0869852353748,29.9799851593033,"41019294","18","14638.7585193","566.866836731","","1300","MOSS","ST","Feature"
"164","MultiPolygon",-90.0870184477335,29.9800854932289,"41019294","18","14638.7585193","566.866836731","","1300","MOSS","ST","Feature"
"165","MultiPolygon",-90.0870455820243,29.9801551391086,"41019294","18","14638.7585193","566.866836731","","1300","MOSS","ST","Feature"
"166","MultiPolygon",-90.0868033528025,29.9802322351307,"41019294","18","14638.7585193","566.866836731","","1300","MOSS","ST","Feature"
"167","MultiPolygon",-90.0868620841984,29.9803590662794,"41019294","18","14638.7585193","566.866836731","","1300","MOSS","ST","Feature"
"168","MultiPolygon",-90.0866151717789,29.9804661232944,"41019294","18","14638.7585193","566.866836731","","1300","MOSS","ST","Feature"
"169","MultiPolygon",-90.0866260253166,29.9799998858841,"41019294","18","14638.7585193","566.866836731","","1300","MOSS","ST","Feature"
"170","MultiPolygon",-90.0928328057262,29.9812168799789,"41020456","19","6219.2163425","453.890854427","N","962","CARROLLTON","AVE","Feature"
"171","MultiPolygon",-90.0928553190438,29.9810233049225,"41020456","19","6219.2163425","453.890854427","N","962","CARROLLTON","AVE","Feature"
"172","MultiPolygon",-90.0929621729709,29.9810343136019,"41020456","19","6219.2163425","453.890854427","N","962","CARROLLTON","AVE","Feature"
"173","MultiPolygon",-90.0929565488816,29.9810823955411,"41020456","19","6219.2163425","453.890854427","N","962","CARROLLTON","AVE","Feature"
"174","MultiPolygon",-90.0929122413551,29.9814695513942,"41020456","19","6219.2163425","453.890854427","N","962","CARROLLTON","AVE","Feature"
"175","MultiPolygon",-90.0927894885327,29.9815821663731,"41020456","19","6219.2163425","453.890854427","N","962","CARROLLTON","AVE","Feature"
"176","MultiPolygon",-90.0928328057262,29.9812168799789,"41020456","19","6219.2163425","453.890854427","N","962","CARROLLTON","AVE","Feature"
